coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss
ada,1041.6666666666665,1071.9330911332822,3,8.0,357,127,6.870201513531886,230,-3.48079348297942
ada,1041.6666666666665,1013.6348718645108,3,8.5,336,119,6.908107122963182,217,-3.7254832984705404
ada,1041.6666666666665,1094.7003608443918,3,9.0,305,109,7.681468449217268,196,-3.7886719393892347
ada,1041.6666666666665,1168.5535711376904,3,9.5,276,99,8.115104538001432,177,-3.586676712567523
ada,1041.6666666666665,1160.2281209817374,3,10.0,258,90,8.793809614913425,168,-3.7572306211932833
ada,1041.6666666666665,1156.1272806594466,3,10.5,245,84,9.16174276767,161,-3.8103050423902696
ada,1041.6666666666665,1181.9295482426837,3,11.0,227,80,9.504411688411487,147,-3.934852971634246
ada,1041.6666666666665,1132.2359580497027,3,11.5,220,72,9.980557008095051,148,-3.9619199090077073
ada,1041.6666666666665,1169.242735060361,3,12.0,207,68,10.664169361504442,139,-3.999430082891655
ada,1041.6666666666665,1198.1966980123254,3,12.5,194,67,10.671201686283027,127,-4.069085157233353
ada,1041.6666666666665,1192.6930204190717,3,13.0,185,60,12.033204501382334,125,-4.234393997310926
ada,1041.6666666666665,1258.8882687609125,3,13.5,172,59,13.0756565099246,113,-4.536066064819815
ada,1041.6666666666665,1241.9467291023625,3,14.0,165,56,13.387547054494323,109,-4.658311063755224
ada,1041.6666666666665,1244.752222193037,3,14.5,154,54,13.335082100442056,100,-4.753422112308341
ada,1041.6666666666665,1226.2483023488062,3,15.0,151,52,13.523916387307748,99,-4.818134846375731
ada,1041.6666666666665,1259.1844892533043,3,15.5,142,52,13.51315608040616,90,-4.927773632531291
ada,1041.6666666666665,1202.8154504001052,3,16.0,141,49,14.02098730334867,92,-5.26318399417369
ada,1041.6666666666665,1217.9658527826127,3,16.5,134,46,14.679437957885694,88,-5.196457878183294
ada,1041.6666666666665,1183.5714223493758,3,17.0,132,43,15.235390626618665,89,-5.298318815676715
ada,1041.6666666666665,1180.7291899988327,3,17.5,127,44,14.481293224472825,83,-5.4993700226261675
ada,1041.6666666666665,1179.150532252312,3,18.0,120,41,14.867709136748402,79,-5.448424586764202
ada,1041.6666666666665,1186.8804636031907,3,18.5,115,38,15.777724225704185,77,-5.359390350306094
ada,1041.6666666666665,1223.8019695540427,3,19.0,107,38,16.095762711644152,69,-5.620826282441089
ada,1041.6666666666665,-206.9623859162127,4,2.0,2306,582,2.770967610084266,1724,-1.6355368532397083
ada,1041.6666666666665,163.8526713122509,4,2.5,1689,448,3.290574270547197,1241,-1.8616636598653453
ada,1041.6666666666665,584.4526842613893,4,3.0,1267,351,4.036787594031673,916,-2.0005019227551637
ada,1041.6666666666665,689.1026653209227,4,3.5,1023,304,4.235791113660837,719,-2.2233349558163753
ada,1041.6666666666665,879.1086770096264,4,4.0,824,256,4.775884461093912,568,-2.365348142659185
ada,1041.6666666666665,983.8208119217205,4,4.5,695,236,4.956657222871726,459,-2.5837697008191878
ada,1041.6666666666665,1013.0938242021361,4,5.0,605,195,5.816259639353019,410,-2.734333671882204
ada,1041.6666666666665,991.4353772290358,4,5.5,540,177,5.9935812047513055,363,-2.9460840110521858
ada,1041.6666666666665,1035.2067352250242,4,6.0,475,163,6.183563350657749,312,-3.117673368372398
ada,1041.6666666666665,1048.5568435004639,4,6.5,423,147,6.4431661983632775,276,-3.2557557523874596
ada,1041.6666666666665,1005.2466857407716,4,7.0,387,136,6.593275407267207,251,-3.55154888305804
ada,1041.6666666666665,1023.216240141208,4,7.5,357,125,6.753876659413847,232,-3.538872165023804
ada,1041.6666666666665,1046.7937348164346,4,8.0,325,117,6.953779581972325,208,-3.6865311359342674
ada,1041.6666666666665,1067.9374088262998,4,8.5,301,107,7.344460295302843,194,-3.7006177462427994
ada,1041.6666666666665,1149.0984834442695,4,9.0,277,95,8.658894221718317,182,-3.7005300418624785
ada,1041.6666666666665,1162.7087892056827,4,9.5,252,89,8.801308827081451,163,-3.807409180396112
ada,1041.6666666666665,1184.4884106939314,4,10.0,232,81,9.328183849822928,151,-3.782082656567717
ada,1041.6666666666665,1172.9526817225064,4,10.5,219,74,10.010865337237465,145,-3.9162162291935525
ada,1041.6666666666665,1156.8633856315919,4,11.0,207,68,10.513254288409208,139,-4.014661194102386
ada,1041.6666666666665,1147.574387979621,4,11.5,197,63,11.255334974114604,134,-4.190385935743268
